NFT ID,Rarity Score,Rank
1,308.07,2979
2,324.79,2651
3,391.87,1689
4,312.32,2899
5,238.36,5539
6,262.72,4480
7,338.73,2387
8,224.56,6089
9,300.24,3175
10,1494.95,187
11,250.54,5009
12,198.87,6688
13,364.99,2018
14,429.09,1302
15,420.43,1376
16,266.89,4317
17,267.42,4291
18,260.25,4587
19,341.76,2324
20,336.88,2415
21,378.17,1852
22,268.3,4254
23,320.99,2721
24,279.21,3834
25,224.29,6102
26,262.86,4471
27,244.94,5255
28,436.65,1234
29,377.42,1860
30,354.01,2161
31,260.86,4557
32,330.27,2535
33,232.69,5778
34,244.63,5263
35,202.86,6626
36,2005.71,73
37,253.12,4902
38,238.42,5535
39,267.07,4305
40,318.43,2763
41,309.2,2949
42,936.86,417
43,203.73,6617
44,2633.57,46
45,221.43,6192
46,338.26,2397
47,244.58,5264
48,449.36,1134
49,439.03,1218
50,219.05,6294
51,323.5,2674
52,267.5,4282
53,394.1,1661
54,250.99,4995
55,229.15,5921
56,214.83,6411
57,237.3,5590
58,834.46,450
59,214.83,6411
60,295.24,3312
61,290.54,3456
62,206.52,6578
63,277.59,3897
64,288.89,3513
65,1179.02,312
66,237.86,5563
67,350.01,2206
68,1148.61,327
69,271.14,4127
70,257.82,4707
71,228.31,5951
72,273.48,4035
73,386.39,1751
74,366.38,2007
75,395.85,1637
76,210.49,6510
77,422.07,1358
78,264.63,4402
79,1130.22,334
80,450.19,1127
81,267.08,4304
82,250.2,5024
83,292.95,3393
84,198.77,6690
85,263.79,4438
86,265.18,4372
87,278.67,3857
88,240.55,5435
89,1601.05,148
90,215.03,6402
91,921.91,422
92,253.75,4873
93,291.4,3437
94,232.66,5781
95,243.03,5323
96,229.05,5927
97,317.72,2778
98,268.85,4228
99,342.97,2309
100,246.3,5196
101,269.25,4210
102,569.91,688
103,2972.38,41
104,292.94,3394
105,287.11,3569
106,236.27,5632
107,254.45,4852
108,257.3,4734
109,272.94,4057
110,244.53,5266
111,268.34,4249
112,333.83,2466
113,274.59,4000
114,240.99,5423
115,395.96,1633
116,612.56,620
117,256.67,4764
118,301.87,3132
119,221.89,6171
120,323.07,2680
121,278.65,3858
122,241.73,5390
123,382.94,1794
