nft_id,rank,rarity_score
1,4455,1132.54
2,3400,1231.45
3,3319,1239.3
4,4958,1095.54
5,6243,1010.89
6,3545,1216.75
7,1927,1437.66
8,6015,1026.08
9,6431,1000.31
10,5625,1051.02
11,1357,1576.98
12,4809,1105.32
13,2569,1327.69
14,117,2970.8
15,7189,951.65
16,4238,1148.52
17,2841,1293.69
18,6543,992.24
19,1513,1531.96
20,7447,933.03
21,7361,938.49
22,2435,1347.97
23,667,1918.95
24,2370,1358.23
25,611,1985.56
26,9750,675.87
27,2714,1309.44
28,2521,1336.33
29,5925,1031.67
30,5469,1061.13
31,8277,875.26
32,2636,1320.16
33,3422,1229.76
34,8221,880.15
35,3605,1208.51
36,5641,1049.8
37,9781,649.11
38,3470,1225.07
39,3405,1230.9
40,2487,1340.45
41,1227,1621.93
42,2219,1383.6
43,1117,1666.1
44,5362,1067.98
45,2088,1405.52
46,3427,1229.08
47,6584,989.99
48,27,3997.11
49,8052,891.64
50,2560,1328.99
51,8469,860.79
52,3755,1192.2
53,4112,1160.15
54,4417,1134.55
55,1256,1611.81
56,101,3064.15
57,7107,957.7
58,1984,1424.91
59,4114,1160.05
60,2517,1337.09
61,2267,1375.53
62,8207,881.25
63,8128,886.66
64,627,1962.22
65,289,2482.68
66,6503,994.98
67,2743,1307.07
68,2915,1284.96
69,3978,1171.36
70,4205,1151.74
71,7679,918.33
72,307,2434.83
73,4225,1149.89
74,720,1870.71
75,8082,889.84
76,8947,823.53
77,1944,1434.43
78,8062,891.22
79,4991,1093.32
80,9473,755.97
81,6001,1026.65
82,9347,774.51
83,7637,921.05
84,6114,1019.7
85,2066,1410.46
86,4734,1111.25
87,8128,886.66
88,6262,1009.7
89,8243,878.17
90,9706,690.78
91,7363,938.41
92,2987,1275.97
93,2060,1411.18
94,2916,1284.93
95,4914,1098.55
96,1320,1586.89
97,3297,1240.89
98,8642,848.4
99,706,1881.96
100,8404,866.04
101,9536,743.42
102,1138,1656.89
103,4597,1120.64
104,3115,1263.25
105,1448,1549.71
106,55,3466.88
107,6776,977.98
108,4751,1109.93
109,851,1787.43
110,6487,996.06
111,487,2140.12
112,4219,1150.58
113,7994,895.85
114,865,1781.69
115,2738,1307.22
116,3190,1253.66
117,7346,939.19
118,4143,1157.83
119,7894,902.93
120,3000,1274.41
121,1859,1453.27
122,8255,877.29
123,1216,1625.48
124,3084,1265.67
125,3658,1203.18
126,5504,1058.79
127,5858,1035.52
128,1282,1603.48
129,6903,969.96
130,8749,839.93
131,8925,825.39
132,2798,1299.42
133,6749,979.48
134,8259,876.98
135,5764,1041.95
136,9339,776.9
137,5560,1054.91
138,6039,1024.57
139,7242,946.94
140,8832,833.19
141,7221,948.71
142,8822,834.44
143,3903,1176.94
144,4188,1153.79
145,3012,1272.4
146,3431,1229.05
147,6782,977.63
148,2717,1309.1
149,122,2959.15
150,863,1782.7
151,5028,1091.15
152,3871,1179.93
153,5883,1034.02
154,1872,1452.14
155,571,2029.97
156,8515,857.78
157,6779,977.82
158,9269,786.2
159,2172,1392.81
160,9596,726.8
161,6148,1017.82
162,3994,1170.39
163,3075,1266.46
164,5108,1086.07
165,5377,1067.01
166,1420,1555.93
167,8483,859.93
168,9122,806.02
169,2450,1345.99
170,5632,1050.37
171,444,2200.39
172,4172,1155.29
174,4280,1144.55
175,2220,1383.52
176,5070,1088.47
177,6923,968.88
178,8769,838.15
179,6315,1006.63
180,982,1726.77
181,3928,1174.95
182,5507,1058.76
183,1462,1546.55
184,6455,998.34
185,7812,908.89
186,717,1871.26
187,9270,786.17
188,1649,1498.78
189,6976,965.45
190,6012,1026.26
191,2326,1365.59
192,5741,1043.32
193,4347,1138.93
194,7272,944.84
195,6491,995.87
196,4063,1164.06
197,6797,976.9
198,3446,1226.9
199,8889,828.27
200,3462,1225.69
201,3248,1246.85
202,6280,1008.58
203,7440,933.27
204,2401,1353.62
205,606,1989.11
206,4674,1115.88
207,6716,981.22
208,2195,1388.99
209,369,2321.22
